LANGUAGE	GLOTTOLOG	SOURCE
Western Xiangxi	nort2748	xiangxi1,xiangxi2,general
Eastern Xiangxi	east2371	xiangxi1,xiangxi2,general
Qiandong	east2369	qiandong,general
Chuanqiandian	nort3244 general
Diandongbei	larg1235	general
Hmong Daw	hmon1333	daw1,daw2
Hmong Njua	hmon1264	njua
Bunu	buna1273	bunanuma,general
Baonao	buna1273	bunanuma
Numao	numa1251	bunanuma
Longhua Jiongnai	jion1236	jiongnai
Liuxiang Jiongnai	jion1236	jiongnai
Xiaozhai Younuo	youn1235 younuo
Huangluo Younuo	youn1235 younuo	
Northern Pa-Hng	pahn1237 pahnwuna
Southern Pa-Hng	pahn1237	pahnwuna
Hm-Nai	wuna1248	pahnwuna
